Publisher,Time,Author,Title,ID
Steven Jay Hamilton,2005/8/14,Steven Jay Hamilton,Bad For Business,533
"iUniverse, Incorporated",2007/10/8,Charese Mongiello,Start Your Own Screen-Printing Business,534
Charlton Books,3/30/16,Charlton James,Somebody Else's Business,535
Graditz Verize,6/29/17,Pabla Stonewall,"Business Lunch to Remember (Gay, Bisexual, MM, exh, 1st-gay experience Erotica)",536
Elsevier Science,2010/8/13,Susan Snedaker,Business Continuity and Disaster Recovery Planning for IT Professionals / Edition 2,537
Harlequin,2010/3/17,Heatherly Bell,This Baby Business,538
Silhouette,2007/1/7,Elizabeth Bevarly,Married to His Business (Silhouette Desire #1809),539
Cengage Learning,2001/1/15,Richard A. Mann,Essentials of Business Law and the Legal Environment / Edition 12,540
Dodo Press,12/28/07,Emily Post,"Etiquette in Society, In Business, In Politics, and at Home",541
Grand Central Publishing,5/20/10,Michael W. Preis,101 Things I Learned in Business School,542
CSB Academy Publishing Company,11/20/16,Maria Carmen,"How to Start, Run and Grow a Successful Residential & Commercial Cleaning Business",543
Wiley,2009/4/12,Barbara Findlay Schenck,Small Business Marketing Kit For Dummies,544
Harvard Business Review Press,2005/12/15,Harvard Business Review,HBR 20-Minute Manager Boxed Set (10 Books) (HBR 20-Minute Manager Series),545
CreateSpace Publishing,2002/7/15,Manuel Taylor,How to Write a Business Plan - Step by Step guide,546
CreateSpace Publishing,2009/8/11,Paparazzi Accessories,Building Your Paparazzi Business,547
Pearson,2004/7/17,Henry R. Cheeseman,"Business Law, Student Value Edition Plus 2017 MyBLawLab with Pearson eText -- Access Card Package / Edition 9",548
Silhouette,2001/1/6,Annette Broadrick,Man Means Business (Silhouette Desire #1701),549
Wiley,2011/10/8,Barbara Findlay Schenck,Selling Your Business for Dummies (Includes CD-ROM),550
Dreamspinner Press,7/27/15,Piper Vaughn,Prickly Business,551
McGraw-Hill Education,1/14/15,Charles W. L. Hill,Global Business Today / Edition 9,552
Entrepreneur Press,11/30/11,Entrepreneur Press,Start Your Own Wedding Consultant Business,553
Cengage Learning,1/17/17,David R. Anderson,Essentials of Statistics for Business and Economics (with XLSTAT Printed Access Card) / Edition 8,554
Lisa Saunders,4/29/11,Lisa Saunders,How to Promote Your Business (or yourself),555
KRE,2011/11/13,Jenna Richards,"Cupcake Cash - How to Make Money with a Home-Based Baking Business Selling Cakes, Cookies, and Other Baked Goods (Mogul Mom Work-At-Home Book Series)",556
Anton Romanov,1/16/18,Anton Romanov,"Marketing - Name Drop, Profits Up - Amp Up Your Small Business Profits with Social Media Marketing",557
"Orion Publishing Group, Limited",2008/2/16,Adrian Goldsworthy,Whose Business is to Die,558
Entrepreneur Press,1/28/14,Entrepreneur Magazine,Start Your Own Blogging Business,559
Rose Garter,1/31/17,Rose Garter,"Taking Care of Business (Emily's Adventures in Dating, #1)",560
L.L. Press,2003/1/18,L.M. Stockton,The Bear Business,561
Lulu.com,12/30/13,V. T.,Start a Quilt Business,562
Taylor & Francis,2008/3/16,Jason E Squire,The Movie Business Book / Edition 4,563
"Rowman & Littlefield Publishers, Inc.",2001/11/11,Detra Denay Davis,How to Start a Home-Based Bakery Business,564
Summary Station,5/13/17,Better Business Summaries,Platform Revolution Summary,565
"Media Angels, Incorporated",4/23/16,Carol Topp,Business Tips and Taxes For Writers,566
Harvard Business Review Press,7/18/17,Harvard Business Review,HBR Guide to Being More Productive (HBR Guide Series),567
Pearson,5/16/14,Mark L. Berenson,Basic Business Statistics Student Value Edition Plus NEW MyStatLab with Pearson eText -- Access Card Package / Edition 13,568
Lulu.com,12/20/14,Nicolae Sfetcu,The Business of Domain Names,569
"Rowman & Littlefield Publishers, Inc.",2006/1/11,Michelle Long,How to Start a Home-based Bookkeeping Business,570
Emerge Publishing,1/30/18,Kelly Cardenas,The 6 Indicators for Business and Life,571
Wiley,5/23/16,Steven D. Peterson,Business Plans Kit For Dummies,572
Pearson,3/31/16,Henry R. Cheeseman,Business Law Plus MyBusinessLawLab with Pearson eText -- Access Card Package (1-semester) / Edition 9,573
Tina Martin,2005/5/16,Tina Martin,Making You My Business,574
"Rowman & Littlefield Publishers, Inc.",2001/11/11,Shari Steelsmith,"How to Start a Home-Based Day-Care Business, 6th",575
Harvard Business Review Press,10/28/14,Harvard Business Review,Getting Work Done (20-Minute Manager Series),576
Wolters Kluwer Legal & Regulatory,1/15/16,Rhee,Essential Concepts of Business for Lawyers 2e / Edition 2,577
Titan,11/19/13,Michael Crichton,The Venom Business: A Novel,578
Cengage Learning,2001/8/16,Mary Ellen Guffey,Business English / Edition 12,579
Callisto Media,2004/10/15,Tycho Press,Accounting for Small Business Owners,580
Harvard Business Review Press,6/18/03,Harvard Business Review,Managing Creativity and Innovation,581
Cengage Learning,2003/1/16,Jeffrey D. Camm,Essentials of Business Analytics / Edition 2,582
Bedford/St. Martin's,9/13/13,Gerald J. Alred,The Business Writer's Companion / Edition 7,583
Internet Marketing Business,1/30/15,Christine Clayfield,Work From Home Ideas. 463 Ways To Make Money From Home. Moneymaking Ideas & Home Based Business Ideas. Online And Offline Ideas For All Ages.,584
Wiley,6/17/13,Johannes Ledolter,Data Mining and Business Analytics with R / Edition 1,585
McGraw-Hill Professional Publishing,10/21/10,Joe Romano,Writing Winning Business Proposals / Edition 3,586
Dreamspinner Press,2003/11/13,Mia Kerick,Unfinished Business,587
IT Revolution Press,2004/7/16,Mark Schwartz,The Art of Business Value,588
Harvard Business Review Press,2/16/16,Harvard Business Review Press,Difficult Conversations (HBR 20-Minute Manager Series),589
CreateSpace Publishing,3/24/12,Antoine Cameron,How to Start a Vending Business,590
Good2go Publishing LLC,7/24/15,Silk White,Business is Business 2,591
Pearson,2005/8/9,Roberta Moore,Pearson Business Reference and Writer's Handbook / Edition 1,592
NOLO,7/22/15,Fred S. Steingold,The Complete Guide to Buying a Business,593
Gestalten,2009/12/14,Monocle,The Monocle Guide to Good Business,594
Houghton Mifflin Harcourt,10/28/04,Sheryl Lindsell-Roberts,Strategic Business Letters and E-mail,595
Good2go Publishing LLC,5/28/15,Silk White,Business is Business,596
Taylor Trade Publishing,2007/2/15,Owen E. Dell,How to Start a Home-Based Landscaping Business,597
Harvard Business Review Press,2012/6/16,Peter F. Drucker,The Peter F. Drucker Reader: Selected Articles from the Father of Modern Management Thinking,598
Entrepreneur Press,2002/9/16,Perry Marshall,Ultimate Guide to Local Business Marketing,599
Wiley,7/30/07,Tage C. Tracy,Small Business Financial Management for Dummies,600
BookBaby,7/27/12,Matthew Lesko,101 The Best Government Grants For Your Business,601
Atlantic Publishing Company FL,2001/12/5,Dianna Podmoroff,"How to Hire, Train & Keep the Best Employees for Your Small Business",602
good2go publishing,2/28/16,Silk White,Business is Business 3,603
"Amherst Media, Incorporated",2001/10/17,Tracy Dorr,How to Start a Photography Business,604
McGraw-Hill Professional Publishing,8/26/14,Darrel Surett,McGraw-Hill Education 500 Business Environment and Concepts Questions for the CPA Exam,605
Entrepreneur Press,1/27/09,Entrepreneur Press,Start Your Own Pet Business and More!,606
"Rowman & Littlefield Publishers, Inc.",2001/11/11,Cathy Vaughan,How to Start a Home-Based Pet-Sitting and Dog-Walking Business,607
Harvard Business Review Press,12/28/04,Harvard Business School Publishing,Harvard Business Essentials: Entrepreneur's Toolkit: Tools and Techniques to Launch and Grow Your New Business,608
Harvard Business Review Press,2006/6/5,Harvard Business Review,Strategy: Create and Implement the Best Strategy for Your Business (Harvard Business Essentials Series),609
Rocky Nook,2011/8/17,John Harrington,Best Business Practices for Photographers,610
Teachers College Press,2007/4/9,TALAN,Business Administration Scale for Family Child Care (BAS),611
"Rowman & Littlefield Publishers, Inc.",2007/1/14,Denise Vivaldo,"How to Start a Home-based Catering Business, 7th",612
CreateSpace Publishing,2011/12/9,Inc. Dream Street Investments,How To Start A Foreclosure Cleanup-Property Preservation Business,613
Lerner Publishing Group,11/28/06,Laurie B. Friedman,In Business with Mallory (Mallory Series #5),614
Pearson,2/17/14,Raymond A. Barnett,"College Mathematics for Business, Economics, Life Sciences, and Social Sciences / Edition 13",615
Anton Romanov,1/16/18,Anton Romanov,"LinkedIn - Quick, Click, Career - The Ultimate Guide on How to Attract Recruiters to Your LinkedIn Business Profile",616
The Wives of Bath Press,2001/1/11,Heather Haven,Murder is a Family Business,617
Liraz Publishing,8/18/14,Business Plan Expert,Food Truck Business Plan Template (Including 6 Special Bonuses),618
Springer Publishing Company,2011/1/12,KT Waxman,Financial and Business Management for the Doctor of Nursing Practice,619
Taylor & Francis,8/13/12,Gary Ferraro,The Cultural Dimension of Global Business / Edition 7,620
Mark Elcocks,1/27/16,Mark Elcocks,"10 Top Tips For Creating An Ethical Sales & Marketing System (Build A Successful Business Without Compromising Your Integrity, Your Conscience Or Your Faith)",621
Harvard Business Review Press,10/13/15,Michael D. Watkins,The First 90 Days with Harvard Business Review article,622
Kensington,2011/4/14,Lutishia Lovely,Mind Your Own Business,623
Pearson,1/20/16,John V. Thill,Excellence in Business Communication / Edition 12,624
"Crescent Moon Studios, Inc.",3/31/15,Mac Flynn,The Family Business #1 (BBW Romantic Comedy),625
Virgin Books,3/31/09,Megan Hart,Taking Care of Business,626
"O'Reilly Media, Incorporated",10/28/13,Q. Ethan McCallum,Business Models for the Data Economy,627
Rethink Press Limited,6/15/15,Linda Everett,"Game Changer - How to take control and increase your confidence, personal power and business success",628
McGraw-Hill Education,2004/8/16,Brian C. Spilker,"McGraw-Hill's Taxation of Individuals and Business Entities 2017 Edition, 8e / Edition 8",629
Pearson,2008/3/10,Robert Vitale,Business to Business Marketing / Edition 1,630
Cheryl Schultz,10/29/13,Cheryl Schultz,How To Become A Successful Mobile Notary and Build A Winning Business,631
"Farrar, Straus and Giroux",2009/4/12,Marc Levinson,The Great A&P and the Struggle for Small Business in America,632
Alan Simon Books,2006/1/10,Alan Simon,Unfinished Business,633
Lulu.com,2010/8/15,Jhinelle Walker,"How To Start A Small Business For Kids, Teens, And Young Adults Handbook",634
Timo ten Cate,2003/3/11,Timo ten Cate,Doing Business the Spiritual way,635
eBook Legend,2003/1/13,eBook Legend,Gift Baskets Home Business,636
Elsevier Health Sciences,2/27/15,Carolyn Jarvis,Laboratory Manual for Physical Examination & Health Assessment / Edition 7,637
Health Administration Press,2006/1/15,Beaufort B. Longest Jr.,Health Policymaking in the United States,638
Cengage Learning,2001/1/16,Ann Ehrlich,Medical Terminology for Health Professions / Edition 8,639
Elsevier Health Sciences,2/18/15,Carolyn Jarvis,Physical Examination and Health Assessment / Edition 7,640
Elsevier Health Sciences,6/23/15,Joyce E. Dains,Advanced Health Assessment & Clinical Diagnosis in Primary Care / Edition 5,641
Elsevier Health Sciences,5/28/15,Diana J. Mason,Policy & Politics in Nursing and Health Care / Edition 7,642
Jones & Bartlett Learning,11/14/12,Robert H. Friis,Essentials Of Environmental Health / Edition 2,643
Macmillan Education UK,10/30/13,Jay Bhattacharya,Health Economics,644
Antebellum Publishing,2008/5/15,Katie Cross,"Bon Bons to Yoga Pants (The Health and Happiness Society, #1)",645
Jones & Bartlett Learning,4/20/15,Nancy Borkowski,Organizational Behavior In Health Care / Edition 3,646
Jones & Bartlett Learning,11/24/15,Leiyu Shi,Essentials Of The U.S. Health Care System / Edition 4,647
Jones & Bartlett Learning,9/20/13,George B. Moseley III,Managing Legal Compliance In The Health Care Industry,648
Jones & Bartlett Learning,2/23/16,Mary-Jane Schneider,Introduction To Public Health / Edition 5,649
Jones & Bartlett Learning,2012/1/14,Donna M. Nickitas,Policy And Politics For Nurses And Other Health Professionals / Edition 2,650
Jones & Bartlett Learning,2008/12/14,Leiyu Shi,Delivering Health Care In America / Edition 6,651
Jones & Bartlett Learning,2012/3/14,George D. Pozgar,Legal And Ethical Issues For Health Professionals / Edition 4,652
Jones & Bartlett Learning,2008/7/15,Richard Skolnik,Global Health 101 / Edition 3,653
Jones & Bartlett Learning,2006/3/13,Ann Aschengrau,Essentials Of Epidemiology In Public Health / Edition 3,654
Jones & Bartlett Learning,12/13/16,James F. McKenzie,An Introduction To Community & Public Health / Edition 9,655
Jones & Bartlett Learning,2008/8/16,Kerri Durnell Schuiling,Women's Gynecologic Health / Edition 3,656
Pearson,7/24/14,Nola J. Pender,Health Promotion in Nursing Practice / Edition 7,657
Jones & Bartlett Learning,3/27/15,Peter R. Kongstvedt,Health Insurance And Managed Care / Edition 4,658
A & B Distributors & Publishers Group,2/28/12,Llaila O. Afrika,African Holistic Health,659
"Congressional Quarterly, Inc.",2/19/16,Steven A Finkler,"Financial Management for Public, Health, and Not-for-Profit Organizations Fifth Edition / Edition 2",660
Elsevier Health Sciences,2010/11/13,Carole Lium Edelman,Health Promotion Throughout the Life Span / Edition 8,661
Springer Publishing Company,4/28/15,Anthony R. Kovner,"Jonas And Kovner's Health Care Delivery In The United States, 11e / Edition 11",662
Elsevier Health Sciences,2001/3/14,Karin C. VanMeter,Gould's Pathophysiology for the Health Professions / Edition 5,663
Jones & Bartlett Learning,2012/3/14,Jeri A. Milstead,Health Policy And Politics / Edition 5,664
LWW,2010/3/16,Sheila L. Videbeck,Psychiatric Mental Health Nursing / Edition 7,665
Charisma Media,2002/2/16,Janet Maccaro,Dr. Janet's Guide to Thyroid Health,666
Jones & Bartlett Learning,2003/1/13,John E. Steiner Jr.,Problems In Health Care Law / Edition 10,667
Elsevier Health Sciences,2/20/15,Carolyn Jarvis,Pocket Companion for Physical Examination and Health Assessment / Edition 7,668
Elsevier Health Sciences,5/30/16,Mosby,"Mosby's Dictionary of Medicine, Nursing & Health Professions / Edition 10",669
Jones & Bartlett Learning,2012/1/11,Ralph J. DiClemente,Health Behavior Theory For Public Health,670
Ener-chi.com,2012/10/7,Andreas Moritz,Timeless Secrets Of Health And Rejuvenation,671
Jones & Bartlett Learning,5/26/16,Nell L. Tharpe,Clinical Practice Guidelines For Midwifery & Women's Health / Edition 5,672
"Rodale Press, Inc.",1/23/18,The Editors of Women's Health,"Women's Health Healthy Meals for One (or Two) Cookbook: A Simple Guide to Shopping, Prepping, and Cooking for Yourself with 175 Nutritious Recipes",673
Jones & Bartlett Learning,3/28/16,Sharon B. Buchbinder,Introduction To Health Care Management / Edition 3,674
Pearson IT Certification,12/17/04,Bisys Educational Services,Life and Health Insurance License Exam Cram,675
Jones & Bartlett Learning,3/16/15,David B. Nash,Population Health / Edition 2,676
Jones & Bartlett Learning,2008/10/16,Kathryn H. Jacobsen,Introduction To Health Research Methods / Edition 2,677
Bragg Health Sciences,3/25/08,Patricia Bragg,APPLE CIDER VINEGAR MIRACLE HEALTH SYSTEM,678
Jones & Bartlett Learning,12/26/16,Nancy J. Niles,Basics Of The U.S. Health Care System / Edition 3,679
Touchstone,2010/4/11,Boston Women's Health Book Collective,"Our Bodies, Ourselves",680
Jones & Bartlett Learning,2004/11/16,Kathleen Mastrian,Informatics For Health Professionals,681
Jones & Bartlett Learning,2/17/16,Joel B. Teitelbaum,Essentials Of Health Policy And Law / Edition 3,682
Elsevier Health Sciences,2010/7/13,Sharon Smith Murray,Foundations of Maternal-Newborn and Women's Health Nursing / Edition 6,683
Feel Happy Limited,2002/5/15,Alan Kenworthy,"Goldendoodles - The Owners Guide from Puppy to Old Age - Choosing, Caring for, Grooming, Health, Training and Understanding Your Goldendoodle Dog",684
Jones & Bartlett Learning,2003/10/15,Michael K. Harrington,Health Care Finance And The Mechanics Of Insurance And Reimbursement,685
American Health Information Management Association,2002/1/16,American Health Information Management Association,Management for the Health Information Professional / Edition 1,686
"Rodale Press, Inc.",11/28/17,Jen Ator,"The Women's Health Fitness Fix: Quick HIIT Workouts, Easy Recipes, & Stress-Free Strategies for Managing a Healthy Life",687
Jones & Bartlett Learning,2010/7/11,Helen Osborne,Health Literacy From A To Z / Edition 2,688
Lippincott Williams & Wilkins,2010/1/13,Jane H. Kelley,Health Assessment in Nursing / Edition 5,689
Jones & Bartlett Learning,5/24/12,Patti R. Rose,Cultural Competency For The Health Professional,690
Elsevier Health Sciences,10/14/16,Susan F. Wilson,Health Assessment for Nursing Practice / Edition 6,691
Pearson,9/26/16,Rachel E. Spector,Cultural Diversity in Health and Illness / Edition 9,692
Jones & Bartlett Learning,2008/12/16,Nanna Cross,Stanfield's Introduction To Health Professions / Edition 7,693
Springer Publishing Company,6/28/16,Raymond L. Goldsteen,Jonas' Introduction to the U.S. Health Care System / Edition 8,694
Jones & Bartlett Learning,2/14/17,Patti R. Rose,"Health Disparities, Diversity, And Inclusion",695
Sterling,2004/1/14,Everyday Health,"Everyday Health My Calorie Counter, Second Edition",696
F. A. Davis Company,2005/8/14,Larry D. Purnell,Guide to Culturally Competent Health Care 3e / Edition 3,697
Turner Publishing Company,10/25/11,Merck Editors,Merck Manual Home Health Handbook,698
Lippincott Williams & Wilkins,2009/6/12,Stacey Plichta Kellar,Munro's Statistical Methods for Health Care Research / Edition 6,699
"Rodale Press, Inc.",4/18/17,Michael Mejia,The Men's Health Gym Bible,700
Jones & Bartlett Learning,2007/10/13,Joanna Hayden,Introduction To Health Behavior Theory / Edition 2,701
Jones & Bartlett Learning,11/27/13,Regula H. Robnett,Gerontology For The Health Care Professional / Edition 3,702
Jones & Bartlett Learning,7/29/14,Richard Riegelman,Public Health 101 / Edition 2,703
Elsevier Health Sciences,12/18/13,Barbara Herlihy,The Human Body in Health and Illness / Edition 5,704
Jones & Bartlett Learning,9/18/12,Carla Caldwell Stanford,Ethics For Health Professionals,705
Xlibris Corporation,2/22/17,Eunice Wong,What The Health,706
Wiley,5/31/16,Timothy Berthold,Foundations for Community Health Workers / Edition 2,707
Jones & Bartlett Learning,2007/12/13,Leiyu Shi,Novick & Morrow's Public Health Administration / Edition 3,708
Jones & Bartlett Learning,5/25/10,Robert E Burke,Essentials Of Management And Leadership In Public Health,709
Wiley,2009/9/14,Anastasia M. Snelling,Introduction to Health Promotion / Edition 1,710
"Rodale Press, Inc.",6/17/02,David Joachim,"Man, a Can, a Plan: 50 Great Guy Meals Even You Can Make!",711
Jones & Bartlett Learning,9/16/11,Bruce Simons-Morton,Behavior Theory In Health Promotion Practice And Research / Edition 1,712
Elsevier Health Sciences,1/28/15,Deitra Leonard Lowdermilk,Maternity and Women's Health Care / Edition 11,713
American Health Information Management Association,2012/1/13,Nanette B. Sayles,Introduction to Computer Systems for Health Information Technology / Edition 2,714
Jones & Bartlett Learning,2002/10/11,Demetrius J. Porche,Health Policy / Edition 1,715
Bernan Press,6/23/14,Mark A. Friend,Fundamentals of Occupational Safety and Health / Edition 6,716
Jones & Bartlett Learning,2009/5/12,Florence Kavaler,Risk Management In Health Care Institutions / Edition 3,717
Jones & Bartlett Learning,2004/6/12,Peter R. Kongstvedt,Essentials Of Managed Health Care / Edition 6,718
Pearson,1/19/17,Randall R. Cottrell,Principles and Foundations of Health Promotion and Education / Edition 7,719
Jones & Bartlett Learning,2002/7/14,Karen (Kay) M. Perrin,Principles Of Evaluation And Research For Health Care Programs,720
Jones & Bartlett Learning,11/30/11,Steven A. Finkler,Accounting Fundamentals For Health Care Management / Edition 2,721
Cengage Learning,2001/1/16,Ann Ehrlich,"Student Workbook for Ehrlich/Schroeder/Ehrlich/Schroeder's Medical Terminology for Health Professions, 8th / Edition 8",722
Lippincott Williams & Wilkins,9/16/14,Paul Engelkirk,"Burton's Microbiology for the Health Sciences, North American Edition / Edition 10",723
Pearson,10/23/14,Mary Jo Clark Ph.D.,Population and Community Health Nursing / Edition 6,724
Jones & Bartlett Learning,2008/4/15,Gordon Edlin,Health And Wellness / Edition 12,725
"Rodale Press, Inc.",8/20/05,Men's Health Magazine,Men's Health Best: Weight-Free Workout,726
Jones & Bartlett Learning,3/29/12,Nancy J. Niles,Basic Concepts Of Health Care Human Resource Management,727
Jones & Bartlett Learning,1/25/12,Mark Edberg,"Essentials Of Health, Culture, And Diversity / Edition 1",728
Jones & Bartlett Learning,8/16/13,Jr.,Human Resource Management In Health Care / Edition 2,729
Stedman's,4/21/11,Stedman's,Stedman's Medical Dictionary for the Health Professions and Nursing / Edition 7,730
Jones & Bartlett Learning,9/18/12,Carolyn Chambers Clark,Health Promotion For Nurses,731
Jones & Bartlett Learning,2003/8/13,Robert H. Friis,Epidemiology For Public Health Practice / Edition 5,732
Lippincott Williams & Wilkins,5/27/11,Roxann DeLaet,Introduction to Health Care & Careers,733
F. A. Davis Company,12/22/11,Theresa A. Beery,Genetics and Genomics in Nursing and Health Care / Edition 1,734
Health Professions Press,2005/1/14,Beaufort B.,Managing Health Services Organizations and Systems / Edition 6,735
Jones & Bartlett Learning,2011/1/10,Lois A. Ritter,Community Mental Health / Edition 1,736
Jones & Bartlett Learning,3/27/15,George D. Pozgar,Legal Aspects Of Health Care Administration / Edition 12,737
Jones & Bartlett Learning,4/27/12,Jonathan B. Kotch,Maternal And Child Health / Edition 3,738
Jones & Bartlett Learning,7/20/15,Jan Kirk Carney,Controversies In Public Health And Health Policy,739
F. A. Davis Company,2002/7/12,Marcia (Marti) A. Lewis,"Medical Law, Ethics, & Bioethics for the Health Professions / Edition 7",740
"BenBella Books, Inc.",2005/4/10,Linda Bacon,Health At Every Size,741
Mometrix Media LLC,3/31/14,PSB Exam Secrets Test Prep Staff,PSB Health Occupations Secrets Study Guide,742
Jones & Bartlett Learning,2003/1/17,Judith J. Baker,Health Care Finance (5th Edition) / Edition 5,743
"Rodale Press, Inc.",3/21/17,Richard H. Pitcairn,Dr. Pitcairn's Complete Guide to Natural Health for Dogs & Cats (4th Edition),744
SAGE Publications,1/21/09,M. (Marie) Jeannine Coreil,Social and Behavioral Foundations of Public Health / Edition 2,745
Jones & Bartlett Learning,2001/6/15,J. Glenn Forister,Introduction To Research And Medical Literature For Health Professionals / Edition 4,746
Jones & Bartlett Learning,2002/6/13,Nancy Irwin Maxwell,Understanding Environmental Health / Edition 2,747
Pearson,1/15/17,Jane Rice,Medical Terminology for Health Care Professionals / Edition 9,748
LWW,2/28/14,Nancy Getchell,Research Methods in Kinesiology and the Health Sciences / Edition 1,749
Cengage Learning,2001/1/16,Dianne Hales,An Invitation to Health / Edition 17,750
Elsevier Health Sciences,3/17/14,Elsevier,Legal and Ethical Issues for Health Professions / Edition 3,751
Lippincott Williams & Wilkins,2008/10/16,Mary Beth Early,Mental Health Concepts and Techniques for the Occupational Therapy Assistant / Edition 5,752
McGraw-Hill Higher Education,2003/2/12,Rebecca Ferrini,Health in the Later Years / Edition 5,753
Pearson,2001/7/15,Michele C. Davidson,Olds' Maternal-Newborn Nursing & Women's Health Across the Lifespan / Edition 10,754
"EWorld, Incorporated",11/28/12,Queen Afua,Heal Thyself for Health and Longevity,755
Wiley,3/26/13,Peter M. Ginter,The Strategic Management of Health Care Organizations / Edition 7,756
Springer Publishing Company,3/28/16,Kathleen M. White,"Translation of Evidence into Nursing and Health Care, Second Edition / Edition 2",757
Jones & Bartlett Learning,2011/6/12,Manoj Sharma,Measurement And Evaluation For Health Educators,758
Elsevier Health Sciences,2012/8/15,Ruth B. Purtilo,Ethical Dimensions in the Health Professions / Edition 6,759
Elsevier Health Sciences,12/20/13,Barbara Herlihy,Study Guide for The Human Body in Health and Illness / Edition 5,760
Jones & Bartlett Learning,8/25/10,Bonni C. Hodges,Assessment And Planning In Health Programs / Edition 2,761
Jones & Bartlett Learning,2007/2/14,Charles R. McConnell,The Effective Health Care Supervisor / Edition 8,762
Internet Marketing Business,9/25/14,George Hoppendale,"Goldendoodles. Ultimate Goldendoodle Dog Manual. Goldendoodle Care, Costs, Feeding, Grooming, Health and Training All Included.",763
Jones & Bartlett Learning,2002/12/16,Lois A. Ritter,Multicultural Health / Edition 2,764
McGraw-Hill Education,1/13/12,Dale B Hahn,"Understanding Your Health, Loose Leaf Edition / Edition 12",765
Jones & Bartlett Learning,2008/12/16,Linda Lewis Alexander,New Dimensions In Women's Health / Edition 7,766
Jones & Bartlett Learning,2009/1/11,William A. Sollecito,Mclaughlin And Kaluzny's Continuous Quality Improvement In Health Care / Edition 4,767
Pearson,2007/1/10,John W. Kingdon,"Agendas, Alternatives, and Public Policies, Update Edition, with an Epilogue on Health Care / Edition 2",768
Wiley,4/27/09,Roberta Carroll,Risk Management Handbook for Health Care Organizations / Edition 5,769
McGraw-Hill Higher Education,2001/5/15,Carlene Harrison,Law & Ethics for Health Professions / Edition 7,770
Oxford University Press,11/24/05,Michael Marmot,Social Determinants of Health / Edition 2,771
Springer Publishing Company,4/28/15,Suellen Breakey,Global Health Nursing in the 21st Century,772
Human Kinetics Publishers,5/19/09,Human Kinetics,Health and Wellness for Life w/Online Study Guide,773
Lippincott Williams & Wilkins,9/22/14,Barbara Janson Cohen,Memmler's The Human Body in Health and Disease / Edition 13,774
Springer Publishing Company,11/28/13,Kristin A. Riekert,The Handbook of Health Behavior Change / Edition 4,775
Cengage Learning,2002/1/16,Dakota Mitchell,Introduction to Health Care / Edition 4,776
Jones & Bartlett Learning,2002/7/13,Kathryn H. Jacobsen,Introduction To Global Health / Edition 2,777
Jones & Bartlett Learning,8/29/16,Eric N. Berkowitz,Essentials Of Health Care Marketing / Edition 4,778
Jones & Bartlett Learning,9/22/14,Karen (Kay) M. Perrin,Essentials Of Planning And Evaluation For Public Health,779
Wiley,2011/8/11,Sarah Gehlert,Handbook of Health Social Work / Edition 2,780
Cengage Learning,2001/1/14,Lynn R Marotz,"Health, Safety, and Nutrition for the Young Child / Edition 9",781
Jones & Bartlett Learning,2/22/17,Kristina M. Young,Sultz & Young's Health Care USA / Edition 9,782
Jones & Bartlett Learning,8/18/11,Gary D. Gilmore,Needs And Capacity Assessment Strategies For Health Education And Health Promotion / Edition 4,783
Elsevier Health Sciences,9/30/13,Stephen Polgar,Introduction to Research in the Health Sciences / Edition 6,784
Jones & Bartlett Learning,2012/2/15,David Tipton,Personal And Professional Growth For Health Care Professionals,785
"Guilford Publications, Inc.",3/30/12,Charles H. Zeanah Jr.,"Handbook of Infant Mental Health, Third Edition / Edition 3",786
Elsevier Health Sciences,2009/8/14,Kim Cooper,Foundations and Adult Health Nursing / Edition 7,787
Jones & Bartlett Learning,9/29/10,Claudia Parvanta,Essentials Of Public Health Communication / Edition 1,788
Jones & Bartlett Learning,2002/6/13,Bernadette Howlett,Evidence Based Practice For Health Professionals,789
Wiley,2001/4/13,Kevin B. Wright,Health Communication in the 21st Century / Edition 2,790
Jones & Bartlett Learning,2/14/13,Sharon B. Buchbinder,Cases In Health Care Management,791
Rutgers University Press,7/31/12,Meredith Minkler,Community Organizing and Community Building for Health and Welfare / Edition 3,792
Pearson,2/24/15,Donita T D'Amico,Health & Physical Assessment In Nursing / Edition 3,793
Jones & Bartlett Learning,2/21/17,William O. Cleverley,Essentials Of Health Care Finance / Edition 8,794
Jones & Bartlett Learning,8/14/15,Nancy Borkowski,"Organizational Behavior, Theory, And Design In Health Care / Edition 2",795
Jones & Bartlett Learning,3/15/13,Louis G. Rubino,New Leadership For Today's Health Care Professionals,796
Jones & Bartlett Learning,2008/5/16,Martha Bradshaw,Innovative Teaching Strategies In Nursing And Related Health Professions / Edition 7,797
Jones & Bartlett Learning,3/30/09,Dr. Brenda Freshman,Collaboration Across The Disciplines In Health Care,798
Pearson,2004/4/8,Kathryn W. Heller,"Understanding Physical, Health, and Multiple Disabilities / Edition 2",799
Jones & Bartlett Learning,12/16/16,Charles R. McConnell,Umiker's Management Skills For The New Health Care Supervisor / Edition 7,800
Elsevier Health Sciences,9/27/16,Michelle Morrison-Valfre,Foundations of Mental Health Care / Edition 6,801
"American Psychiatric Publishing, Incorporated",2012/8/15,Robert J. Hilt,DSM-5® Pocket Guide for Child and Adolescent Mental Health,802
Wiley,2005/3/11,Robyn Hart,Therapeutic Activities for Children and Teens Coping with Health Issues / Edition 1,803
