ID,Publisher,Time,Author,Title
755,"EWorld, Incorporated",11/28/12,Queen Afua,Heal Thyself for Health and Longevity
756,Wiley,3/26/13,Peter M. Ginter,The Strategic Management of Health Care Organizations / Edition 7
757,Springer Publishing Company,3/28/16,Kathleen M. White,"Translation of Evidence into Nursing and Health Care, Second Edition / Edition 2"
758,Orbit; First Edition edition,6/15/11,James S. A. Corey,Leviathan Wakes
759,Elsevier Health Sciences,12/8/15,Ruth B. Purtilo,Ethical Dimensions in the Health Professions / Edition 6
760,Elsevier Health Sciences,12/20/13,Barbara Herlihy,Study Guide for The Human Body in Health and Illness / Edition 5
761,Jones & Bartlett Learning,8/25/10,Bonni C. Hodges,Assessment And Planning In Health Programs / Edition 2
762,Jones & Bartlett Learning,7/2/14,Charles R. McConnell,The Effective Health Care Supervisor / Edition 8
763,Internet Marketing Business,9/25/14,George Hoppendale,"Goldendoodles. Ultimate Goldendoodle Dog Manual. Goldendoodle Care, Costs, Feeding, Grooming, Health and Training All Included."
764,Jones & Bartlett Learning,2/12/16,Lois A. Ritter,Multicultural Health / Edition 2
765,McGraw-Hill Education,1/13/12,Dale B Hahn,"Understanding Your Health, Loose Leaf Edition / Edition 12"
766,Jones & Bartlett Learning,8/12/16,Linda Lewis Alexander,New Dimensions In Women's Health / Edition 7
767,Jones & Bartlett Learning,9/1/11,William A. Sollecito,Mclaughlin And Kaluzny's Continuous Quality Improvement In Health Care / Edition 4
768,Pearson,7/1/10,John W. Kingdon,"Agendas, Alternatives, and Public Policies, Update Edition, with an Epilogue on Health Care / Edition 2"
769,Wiley,4/27/09,Roberta Carroll,Risk Management Handbook for Health Care Organizations / Edition 5
770,McGraw-Hill Higher Education,1/5/15,Carlene Harrison,Law & Ethics for Health Professions / Edition 7
771,Oxford University Press,11/24/05,Michael Marmot,Social Determinants of Health / Edition 2
772,Springer Publishing Company,4/28/15,Suellen Breakey,Global Health Nursing in the 21st Century
773,Human Kinetics Publishers,5/19/09,Human Kinetics,Health and Wellness for Life w/Online Study Guide
774,Lippincott Williams & Wilkins,9/22/14,Barbara Janson Cohen,Memmler's The Human Body in Health and Disease / Edition 13
775,Springer Publishing Company,11/28/13,Kristin A. Riekert,The Handbook of Health Behavior Change / Edition 4
776,Cengage Learning,2/1/16,Dakota Mitchell,Introduction to Health Care / Edition 4
777,Jones & Bartlett Learning,2/7/13,Kathryn H. Jacobsen,Introduction To Global Health / Edition 2
778,Jones & Bartlett Learning,8/29/16,Eric N. Berkowitz,Essentials Of Health Care Marketing / Edition 4
779,Jones & Bartlett Learning,9/22/14,Karen (Kay) M. Perrin,Essentials Of Planning And Evaluation For Public Health
780,Wiley,11/8/11,Sarah Gehlert,Handbook of Health Social Work / Edition 2
781,Cengage Learning,1/1/14,Lynn R Marotz,"Health, Safety, and Nutrition for the Young Child / Edition 9"
782,Jones & Bartlett Learning,2/22/17,Kristina M. Young,Sultz & Young's Health Care USA / Edition 9
783,Jones & Bartlett Learning,8/18/11,Gary D. Gilmore,Needs And Capacity Assessment Strategies For Health Education And Health Promotion / Edition 4
784,Elsevier Health Sciences,9/30/13,Stephen Polgar,Introduction to Research in the Health Sciences / Edition 6
785,Jones & Bartlett Learning,12/2/15,David Tipton,Personal And Professional Growth For Health Care Professionals
786,"Guilford Publications, Inc.",3/30/12,Charles H. Zeanah Jr.,"Handbook of Infant Mental Health, Third Edition / Edition 3"
787,Elsevier Health Sciences,9/8/14,Kim Cooper,Foundations and Adult Health Nursing / Edition 7
788,Jones & Bartlett Learning,9/29/10,Claudia Parvanta,Essentials Of Public Health Communication / Edition 1
789,Jones & Bartlett Learning,2/6/13,Bernadette Howlett,Evidence Based Practice For Health Professionals
790,Wiley,1/4/13,Kevin B. Wright,Health Communication in the 21st Century / Edition 2
791,Jones & Bartlett Learning,2/14/13,Sharon B. Buchbinder,Cases In Health Care Management
792,Rutgers University Press,7/31/12,Meredith Minkler,Community Organizing and Community Building for Health and Welfare / Edition 3
793,Pearson,2/24/15,Donita T D'Amico,Health & Physical Assessment In Nursing / Edition 3
794,Jones & Bartlett Learning,2/21/17,William O. Cleverley,Essentials Of Health Care Finance / Edition 8
795,Jones & Bartlett Learning,8/14/15,Nancy Borkowski,"Organizational Behavior, Theory, And Design In Health Care / Edition 2"
796,Jones & Bartlett Learning,3/15/13,Louis G. Rubino,New Leadership For Today's Health Care Professionals
797,Jones & Bartlett Learning,8/5/16,Martha Bradshaw,Innovative Teaching Strategies In Nursing And Related Health Professions / Edition 7
798,Houghton Mifflin Harcourt; 1st Edition edition,6/6/17,Rachel Kadish,The Weight of Ink
799,Pearson,4/4/08,Kathryn W. Heller,"Understanding Physical, Health, and Multiple Disabilities / Edition 2"
800,Jones & Bartlett Learning,12/16/16,Charles R. McConnell,Umiker's Management Skills For The New Health Care Supervisor / Edition 7
801,Elsevier Health Sciences,9/27/16,Michelle Morrison-Valfre,Foundations of Mental Health Care / Edition 6
802,"American Psychiatric Publishing, Incorporated",12/8/15,Robert J. Hilt,DSM-5® Pocket Guide for Child and Adolescent Mental Health
803,Wiley,5/3/11,Robyn Hart,Therapeutic Activities for Children and Teens Coping with Health Issues / Edition 1
804,Internet Marketing Business,1/8/15,Roger Radford,"Pot Belly Pigs. Pot Belly Pigs Complete Owners Guide. Pot Bellied Pigs care, health, temperament, training, senses, costs, feeding and activities."
805,Pearson,1/18/17,Rebecca J. Donatelle,Access To Health / Edition 15
806,Pearson,5/11/15,Donita T D'Amico,Clinical Pocket Guide for Health & Physical Assessment in Nursing / Edition 3
807,Mometrix Media LLC,3/31/14,PSB Exam Secrets Test Prep Staff,PSB Health Occupations Exam Practice Questions
808,Pearson,1/15/17,Marc M. Triola,Biostatistics for the Biological and Health Sciences / Edition 2
809,Sterling,5/6/14,Jillian Sarno Teta,Natural Solutions for Digestive Health
810,Jones & Bartlett Learning,8/5/13,George D. Pozgar,Legal and Ethical Essentials Of Health Care Administration / Edition 2
811,LWW,12/14/17,Jane H. Kelley,Health Assessment in Nursing
812,Health Administration Press,1/28/15,Paul J. Feldstein,Health Policy Issues
813,Elsevier Health Sciences,2/15/13,Elaine A. Gillingham,LaFleur Brooks' Health Unit Coordinating / Edition 7
814,Cengage Learning,1/1/15,Cathie Robertson,"Safety, Nutrition and Health in Early Education / Edition 6"
815,Pearson,10/10/12,Harold M. Baillie,Health Care Ethics / Edition 6
816,Internet Marketing Business,5/28/16,Ben Team,"Bearded Dragon Care. Bearded Dragon Pet Owners Guide. Bearded Dragon care, behavior, diet, interacting, costs and health. Bearded dragon."
817,Cengage Learning,1/1/17,Dianne Hales,"An Invitation to Health, Brief Edition / Edition 10"
818,Evolution Knowledge Limited,7/31/13,Ann L Fletcher,"Holland Lop Rabbits The Complete Owner's Guide to Holland Lop Bunnies How to Care for your Holland Lop Pet, including Breeding, Lifespan, Colors, Health, Personality, Diet and Facts"
819,Human Kinetics Publishers,8/28/11,David Chenoweth,Worksite Health Promotion - 3rd Edition / Edition 3
820,Internet Marketing Business,1/8/15,George Hoppendale,"Mini Goldendoodles. The Ultimate Mini Goldendoodle Dog Manual. Miniature Goldendoodle book for care, costs, feeding, grooming, health and training."
821,Vanderbilt University Press,6/28/06,Nicholas Freudenberg,Cities and the Health of the Public / Edition 1
822,IMB Publishing,1/7/15,George Hoppendale,"Pembroke Welsh Corgis. The Ultimate Pembroke Welsh Corgi Dog Manual. Pembroke Welsh Corgi care, costs, feeding, grooming, health and training."
823,Jones & Bartlett Learning,3/15/17,James A. Johnson,Comparative Health Systems / Edition 2
824,American Health Information Management Association,1/1/12,Susan White,Principles of Finance for Health Information and Informatics Professionals / Edition 1
825,McGraw-Hill Higher Education,2/21/14,Shelley E Taylor,Health Psychology / Edition 9
826,Jones & Bartlett Learning,7/20/15,Bernard J. Turnock,Public Health / Edition 6
827,Pesa Publishing,5/3/15,Edward Ealing,"Shih Tzus Shih Tzu dog owners guide. Shih Tzu book for care, training & health."
828,Trivium Test Prep,8/11/16,PSB Health Occupations Exam Prep Team,PSB Health Occupations Study Guide: Exam Prep and Practice Test Questions for the PSB-HOAE Test
829,Internet Marketing Business,7/28/14,George Hoppendale,"Yorkies. the Ultimate Yorkie Dog Manual. Yorkies or Yorkshire Terriers Care, Costs, Feeding, Grooming, Health and Training All Included."
830,Pearson,6/22/16,Sherry Makely,Professionalism in Health Care / Edition 5
831,Jones & Bartlett Learning,1/16/15,Eileen E. Morrison,Ethics In Health Administration / Edition 3
832,Health Administration Press,5/1/10,Beaufort B. Longest,Health Policymaking in the United States / Edition 5
833,Feel Happy Limited,8/5/14,Alex Seymour,"French Bulldogs - Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Frenchie"
834,Jones & Bartlett Learning,3/11/15,Robert H. Friis,Occupational Health And Safety For The 21St Century
835,Jones & Bartlett Learning,9/27/12,Margie Lovett-Scott,Global Health Systems
836,F. A. Davis Company,11/26/14,Angela N. Hissong,Research for the Health Professional / Edition 3
837,"Rodale Press, Inc.",4/28/04,David Joachim,"Man, a Can, a Microwave: 50 Tasty Meals You Can Nuke in No Time"
838,Feel Happy Limited,12/8/16,Alex Seymour,"Dachshunds - The Owner's Guide From Puppy To Old Age - Choosing, Caring for, Grooming, Health, Training and Understanding Your Standard or Miniature Dachshund Dog"
839,F. A. Davis Company,7/13/09,Marjorie E. Scaffa,Occupational Therapy in the Promotion of Health and Wellness / Edition 1
840,Elsevier Health Sciences,10/2/13,Sharon Smith Murray,Study Guide for Foundations of Maternal-Newborn and Women's Health Nursing / Edition 6
841,Feel Happy Limited,5/17/14,Alex Seymour,"Shih Tzu Dogs - The Complete Owners Guide from Puppy to Old Age. Buying, Caring For, Grooming, Health, Training and Understanding Your Shih Tzu."
842,Potter/TenSpeed/Harmony,2/23/16,Haylie Pomroy,Fast Metabolism Food Rx: 7 Powerful Prescriptions to Feed Your Body Back to Health
843,Springer Publishing Company,9/28/18,Denise Vanacore,Psychiatric Mental Health Nurse Practitioner Certification Review
844,Jones & Bartlett Learning,10/29/09,Judith A Ruple,Teaching Health Careers Education
845,West Academic,6/28/13,Barry R. Furrow,Health Law / Edition 7
846,HarperCollins Publishers,1/30/18,Ben Lynch,Dirty Genes: A Breakthrough Program to Treat the Root Cause of Illness and Optimize Your Health
847,Sterling,5/1/05,Eric R. Braverman,The Edge Effect: Achieve Total Health and Longevity with the Balanced Brain Advantage
848,Houghton Mifflin Harcourt,4/21/15,Melissa Hartwig,The Whole30: The 30-Day Guide to Total Health and Food Freedom
849,IMB Publishing,8/12/14,George Hoppendale,"The Miniature Australian Shepherd. The Ultimate Mini Australian Shepherd Manual Miniature Australian Shepherd care, costs, feeding, grooming, health and training all included."
850,Elsevier Health Sciences,12/14/17,Barbara Herlihy,Study Guide for The Human Body in Health and Illness
851,World Health Organization,1/28/14,World Health Organization,International Classification of Diseases for Oncology / Edition 3
852,Mayo Foundation,5/29/18,Scott C. Litin,Mayo Clinic Family Health Book
853,Gallery Books,10/31/17,Robyn Openshaw,"Vibe: Unlock the Energetic Frequencies of Limitless Health, Love & Success"
854,Elsevier Health Sciences,2/10/15,Deitra Leonard Lowdermilk,Study Guide for Maternity & Women's Health Care / Edition 11
855,Pearson,1/27/16,Christine N. Nathe,Dental Public Health and Research / Edition 4
856,Taylor & Francis,3/22/07,Cecil G. Helman,"Culture, Health and Illness, Fifth edition / Edition 5"
857,Jones & Bartlett Learning,10/17/12,Lanis Hicks,Economics Of Health And Medical Care / Edition 6
858,Internet Marketing Business,7/17/14,George Hoppendale,"Bernedoodles. The Ultimate Bernedoodle Dog Manual. Bernedoodle care, costs, feeding, grooming, health and training all included."
859,Storey Books,3/11/09,Heather Smith Thomas,The Cattle Health Handbook
860,Jones & Bartlett Learning,8/19/11,Michael H. Merson,Global Health / Edition 3
861,Pearson,2/5/13,James J. Neutens,Research Techniques for the Health Sciences / Edition 5
862,"Hay House, Inc.",4/17/18,Christiane Northrup,Dodging Energy Vampires: An Empath's Guide to Evading Relationships That Drain You and Restoring Your Health and Power
863,Elsevier Health Sciences,10/21/15,Marcia Stanhope,Public Health Nursing: Population-Centered Health Care in the Community / Edition 9
864,Potter/TenSpeed/Harmony,9/15/15,Pearl Barrett,Trim Healthy Mama Plan: The Easy-Does-It Approach to Vibrant Health and a Slim Waistline
865,"Little, Brown and Company",11/29/16,Mark Hyman,"The Eat Fat, Get Thin Cookbook: More Than 175 Delicious Recipes for Sustained Weight Loss and Vibrant Health"
866,Victory Belt Publishing,10/3/17,Carolyn Ketchum,"The Everyday Ketogenic Kitchen: With More than 150 Inspirational Low-Carb, High-Fat Recipes to Maximize Your Health"
867,Johns Hopkins University Press,4/23/17,Nancy L. Mace,"The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Other Dementias, and Memory Loss"
868,Elsevier Health Sciences,10/28/14,Mary A. Nies,Community/Public Health Nursing: Promoting the Health of Populations / Edition 6
869,St. Martin's Press,10/3/17,Bandy X. Lee,The Dangerous Case of Donald Trump: 27 Psychiatrists and Mental Health Experts Assess a President
870,Wellness Unmasked Publishing,5/17/07,Bradley Nelson,"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love and Happiness"
871,New World Library,11/15/16,Valerie Ann Worwood,"The Complete Book of Essential Oils and Aromatherapy: Over 800 Natural, Nontoxic, and Fragrant Recipes to Create Health, Beauty, and Safe Home and Work Environments"
872,F. A. Davis Company,7/21/15,Christine L. Savage,Public Health Science and Nursing Practice: Caring for Populations / Edition 1
873,"Little, Brown and Company",2/23/16,Mark Hyman,"Eat Fat, Get Thin: Why the Fat We Eat Is the Key to Sustained Weight Loss and Vibrant Health"
874,F. A. Davis Company,6/30/14,Joanna Rowe Kaakinen,"Family Health Care Nursing: Theory, Practice, and Research / Edition 5"
875,Wiley,3/13/12,Patrick M. Lencioni,The Advantage: Why Organizational Health Trumps Everything Else in Business
876,Wagging Tail Press,11/6/17,Melina B. Jampolis M.D,"Spice Up, Slim Down: A guide to adding spice to your diet to improve your health and lose weight"
877,Victory Belt Publishing,12/12/17,Suzanne Ryan,"Simply Keto: A Practical Approach to Health & Weight Loss, with 100+ Easy Low-Carb Recipes"
878,Penguin Publishing Group,2/24/09,Richard H. Thaler,"Nudge: Improving Decisions about Health, Wealth, and Happiness"
879,Baker Publishing Group,8/4/15,Caroline Leaf,"Switch On Your Brain: The Key to Peak Happiness, Thinking, and Health"
880,HarperCollins Publishers,5/2/17,Joel Fuhrman,"Eat to Live Quick and Easy Cookbook: 131 Delicious Recipes for Fast and Sustained Weight Loss, Reversing Disease, and Lifelong Health"
881,Victory Belt Publishing,3/15/16,Maria Emmerich,Quick & Easy Ketogenic Cooking: Meal Plans and Time Saving Paleo Recipes to Inspire Health and Shed Weight
882,Callisto Media,1/21/15,Althea Press,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
883,Candlewick Press,8/8/14,Robie H. Harris,"It's Perfectly Normal: Changing Bodies, Growing Up, Sex, and Sexual Health"
884,American Health Information Management Association,7/1/16,Nanette B. Sayles,Health Information Management Technology: An Applied Approach / Edition 5
885,Victory Belt Publishing,9/6/16,Diane Sanfilippo,"Practical Paleo, 2nd Edition (Updated and Expanded): A Customized Approach to Health and a Whole-Foods Lifestyle"
886,"Rodale Press, Inc.",5/9/17,William Davis,Undoctored: Why Health Care Has Failed You and How You Can Become Smarter Than Your Doctor
887,"Hay House, Inc.",11/14/17,Joseph Mercola,Fat for Fuel Ketogenic Cookbook: Recipes and Ketogenic Keys to Health from a World-Class Doctor and an Internationally Renowned Chef
888,CreateSpace Publishing,2/2/11,Chef AJ,Unprocessed: How to Achieve Vibrant Health and Your Ideal Weight
889,McGraw-Hill Professional Publishing,2/29/16,Thomas S. Bodenheimer,"Understanding Health Policy: A Clinical Approach, Seventh Edition / Edition 7"
890,Arcas Publishing,10/21/15,Dorothy Calimeris,The Anti-Inflammatory Diet & Action Plans: 4-Week Meal Plans to Heal the Immune System and Restore Overall Health
891,Elsevier Health Sciences,10/14/16,Elizabeth M. Varcarolis,Essentials of Psychiatric Mental Health Nursing: A Communication Approach to Evidence-Based Care / Edition 3
892,Penguin Publishing Group,1/28/98,Dave Ramsey,Financial Peace Planner: A Step-by-Step Guide to Restoring Your Family's Financial Health
893,Fall River Press,1/30/16,Callisto Media,Essential Oils Natural Remedies: The Complete A-Z Reference of Essential Oils for Health and Healing
894,Storey Books,3/8/16,Hannah Crum,"The Big Book of Kombucha: Brewing, Flavoring, and Enjoying the Health Benefits of Fermented Tea"
895,"Experiment, The",6/28/11,Gene Stone,Forks Over Knives: The Plant-Based Way to Health
896,"Rodale Press, Inc.",6/3/14,William Davis,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
897,HarperCollins Publishers,1/10/17,John W. James,"The Grief Recovery Handbook, 20th Anniversary Expanded Edition: The Action Program for Moving Beyond Death, Divorce, and Other Losses including Health, Career, and Faith"
898,Flatiron Books,1/3/17,Oprah Winfrey,"Food, Health, and Happiness: 115 On-Point Recipes for Great Meals and a Better Life"
899,"Health Communications, Incorporated",10/1/13,MD Ferguson,"Superhealing: Engaging Your Mind, Body, and Spirit to Create Optimal Health and Well-being"
900,HarperCollins Publishers,7/7/15,Toni Weschler,"Taking Charge of Your Fertility, 20th Anniversary Edition: The Definitive Guide to Natural Birth Control, Pregnancy Achievement, and Reproductive Health"
901,HarperCollins Publishers,10/8/13,Joel Fuhrman,"Eat to Live Cookbook: 200 Delicious Nutrient-Rich Recipes for Fast and Sustained Weight Loss, Reversing Disease, and Lifelong Health"
902,Hachette Books,3/21/17,Ron Powers,No One Cares About Crazy People: The Chaos and Heartbreak of Mental Health in America
903,"Kirkton Press, Limited",8/1/94,Elaine Gottschall,Breaking the Vicious Cycle: Intestinal Health Through Diet
904,Penguin Publishing Group,8/31/10,T. R. Reid,"The Healing of America: A Global Quest for Better, Cheaper, and Fairer Health Care"
905,"Rodale Press, Inc.",6/4/13,John McDougall,"The Starch Solution: Eat the Foods You Love, Regain Your Health, and Lose the Weight for Good!"
906,Sterling Epicure,3/7/17,Summer Rayne Oakes,SugarDetoxMe: 100+ Recipes to Curb Cravings and Take Back Your Health
907,Da Capo Press,1/9/18,Daryl Gioffre,"Get Off Your Acid: 7 Steps in 7 Days to Lose Weight, Fight Inflammation, and Reclaim Your Health and Energy"
908,Atria Books/Beyond Words,2/20/18,Derek Rydall,"The Abundance Project: 40 Days to More Wealth, Health, Love, and Happiness"
909,Random House Publishing Group,8/23/16,Paul Thomas,The Vaccine-Friendly Plan: Dr. Paul's Safe and Effective Approach to Immunity and Health-from Pregnancy Through Your Child's Teen Years
910,"Rodale Press, Inc.",12/5/17,Eiko,Even the Stiffest People Can Do the Splits: A 4-Week Stretching Plan to Achieve Amazing Health
911,Callisto Media,3/20/13,Mendocino Press,Smoothie Recipe Book: 150 Smoothie Recipes Including Smoothies for Weight Loss and Smoothies for Optimum Health
912,"Little, Brown and Company",11/15/16,David Perlmutter,"The Grain Brain Whole Life Plan: Boost Brain Performance, Lose Weight, and Achieve Optimal Health"
913,Grand Central Publishing,9/10/13,Alexander Loyd,"The Healing Code: 6 Minutes to Heal the Source of Your Health, Success, or Relationship Issue"
914,PRH Grupo Editorial,8/9/16,Doctor Juan Rivera,Mejora tu salud de poquito a poco - Una guia completa de bienestar para ti y tu familia (Serie: Consulta con Doctor Juan) / Improve your Health: Little By Little
915,"Sounds True, Incorporated",1/1/18,Joel K. Kahn,The Plant-Based Solution: America's Healthy Heart Doc's Plan to Power Your Health
916,Lulu.com,7/20/14,Robert E. Hoyt,Health Informatics: Practical Guide for Healthcare and Information Technology Professionals / Edition 6
917,"Rodale Press, Inc.",3/15/16,Shawn Stevenson,"Sleep Smarter: 21 Essential Strategies to Sleep Your Way to A Better Body, Better Health, and Bigger Success"
918,Pearson,1/22/16,Rebecca J. Donatelle,"Health: The Basics, The MasteringHealth Edition / Edition 12"
919,"Rodale Press, Inc.",9/12/17,Tasneem Bhatia,"Super Woman Rx: Unlock the Secrets to Lasting Health, Your Perfect Weight, Energy, and Passion with Dr. Taz's Power Type Plans"
920,Pearson,3/12/12,Mary Ann Hogan,Pearson Reviews & Rationales: Child Health Nursing with Nursing Reviews & Rationales / Edition 3
921,Wiley,8/3/15,Karen Glanz,"Health Behavior: Theory, Research, and Practice / Edition 5"
922,Grand Central Publishing,12/27/16,Rip Esselstyn,"The Engine 2 Seven-Day Rescue Diet: Eat Plants, Lose Weight, Save Your Health"
923,Turner Publishing Company,3/28/14,Clinton Ober,Earthing: The most important health discovery ever!
924,Penguin Publishing Group,8/21/08,Donna Eden,"Energy Medicine: Balancing Your Body's Energies for Optimal Health, Joy, andVitalityUpdated and Expanded"
925,LWW,3/1/15,Gail A. Harkness,Community and Public Health Nursing: Evidence for Practice / Edition 2
926,F. A. Davis Company,9/28/10,Catana Brown,Occupational Therapy in Mental Health: A Vision for Participation / Edition 1
927,Penguin Publishing Group,9/20/16,Marco A. Borges,The 22-Day Revolution Cookbook: The Ultimate Resource for Unleashing the Life-Changing Health Benefits of a Plant-Based Diet
928,Grand Central Publishing,4/11/17,John Mackey,The Whole Foods Diet: The Lifesaving Plan for Health and Longevity
929,Potter/TenSpeed/Harmony,10/22/13,Deepak Chopra,"Super Brain: Unleashing the Explosive Power of Your Mind to Maximize Health, Happiness, and Spiritual Well-Being"
930,Random House Publishing Group,1/3/12,Christiane Northrup,The Wisdom of Menopause (Revised Edition): Creating Physical and Emotional Health During the Change
931,"Guilford Publications, Inc.",11/30/07,Stephen Rollnick,Motivational Interviewing in Health Care: Helping Patients Change Behavior / Edition 1
932,American Academy of Pediatrics,2/1/17,AAP,"Bright Futures: Guidelines for Health Supervision of Infants, Children, and Adolescents / Edition 4"
933,Morgan James Publishing,6/2/15,Jack Wolfson,The Paleo Cardiologist: The Natural Way to Heart Health
934,CreateSpace Publishing,2/25/17,Kristie H. Sullivan,Journey to Health: A Journey Worth Taking: Cooking Keto with Kristie
935,"Little, Brown and Company",9/9/14,David Perlmutter,The Grain Brain Cookbook: More Than 150 Life-Changing Gluten-Free Recipes to Transform Your Health
936,Da Capo Press,10/24/17,Joy Loverde,Who Will Take Care of Me When I'm Old?: Plan Now to Safeguard Your Health and Happiness in Old Age
937,"Rodale Press, Inc.",10/25/16,Adam Campbell,"The Men's Health Big Book of Exercises: Four Weeks to a Leaner, Stronger, More Muscular You!"
938,Jones & Bartlett Learning,4/2/07,Ruth Levine,Case Studies In Global Health: Millions Saved / Edition 1
939,Storey Books,9/3/08,Rosemary Gladstar,"Rosemary Gladstar's Herbal Recipes for Vibrant Health: 175 Teas, Tonics, Oils, Salves, Tinctures, and Other Natural Remedies for the Entire Family"
940,Fair Winds Press,6/1/17,Martina Slajerova,Quick Keto Meals in 30 Minutes or Less: 100 Easy Prep-and-Cook Low-Carb Recipes for Maximum Weight Loss and Improved Health
941,Red Wheel/Weiser,6/1/13,Julia Lawless,"The Encyclopedia of Essential Oils: The Complete Guide to the Use of Aromatic Oils in Aromatherapy, Herbalism, Health, and Well Being"
942,HarperCollins Publishers,12/26/17,Josh Axe,Eat Dirt: Why Leaky Gut May Be the Root Cause of Your Health Problems and 5 Surprising Steps to Cure It
943,Lippincott Williams & Wilkins,10/15/13,Carol Mattson Porth,Porth's Pathophysiology: Concepts of Altered Health States / Edition 9
944,"BenBella Books, Inc.",12/11/04,T. Colin Campbell,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-Term Health"
945,"Primal Nutrition, Inc.",12/1/16,Mark Sisson,"The New Primal Blueprint: Reprogram Your Genes for Effortless Weight Loss, Vibrant Health and Boundless Energy"
946,Chelsea Green Publishing,9/9/14,Hilary Boynton,The Heal Your Gut Cookbook: Nutrient-Dense Recipes for Intestinal Health Using the GAPS Diet
947,Wiley,12/31/08,Joe Vitale,"Zero Limits: The Secret Hawaiian System for Wealth, Health, Peace, and More"
948,Penguin Publishing Group,5/3/16,Justin Sonnenburg,"The Good Gut: Taking Control of Your Weight, Your Mood, and Your Long-term Health"
949,Fair Winds Press,11/21/17,Martina Slajerova,"Keto Slow Cooker & One-Pot Meals: Over 100 Simple & Delicious Low-Carb, Paleo and Primal Recipes for Weight Loss and Better Health"
950,Jones & Bartlett Learning,10/6/10,Susan B. Bastable,Health Professional As Educator: Principles Of Teaching And Learning
951,Knopf Doubleday Publishing Group,9/23/08,Gary Taubes,"Good Calories, Bad Calories: Fats, Carbs, and the Controversial Science of Diet and Health"
952,"Little, Brown and Company",12/30/14,Chris Kresser,"The Paleo Cure: Eat Right for Your Genes, Body Type, and Personal Health Needs -- Prevent and Reverse Disease, Lose Weight Effortlessly, and Look and Feel Better than Ever"
953,"BenBella Books, Inc.",10/10/17,Lani Muelrath,"The Mindful Vegan: A 30-Day Plan for Finding Health, Balance, Peace, and Happiness"
954,HarperCollins Publishers,1/21/03,Frederic Luskin,Forgive for Good: A Proven Prescription for Health and Happiness
955,"Hay House, Inc.",8/12/08,Esther Hicks,"Money, and the Law of Attraction: Learning to Attract Wealth, Health, and Happiness"
956,"Rodale Press, Inc.",12/24/13,William Davis,"Wheat Belly 30-Minute (Or Less!) Cookbook: 200 Quick and Simple Recipes to Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
957,"Hay House, Inc.",1/9/18,Steven Lin,"The Dental Diet: The Surprising Link between Your Teeth, Real Food, and Life-Changing Natural Health"
958,F. A. Davis Company,10/25/16,Karyn I. Morgan,Essentials of Psychiatric Mental Health Nursing: Concepts of Care in Evidence-Based Practice / Edition 7
959,Quintessential Healing,3/15/16,Ann Boroch,The Candida Cure Cookbook: Delicious Recipes to Reset Your Health and Restore Your Vitality
960,"New Press, The",3/14/17,Mary Otto,"Teeth: The Story of Beauty, Inequality, and the Struggle for Oral Health in America"
961,Da Capo Press,6/30/15,Raphael Kellman,The Microbiome Diet: The Scientifically Proven Way to Restore Your Gut Health and Achieve Permanent Weight Loss
962,Johns Hopkins University Press,9/25/14,Donald A. Barr,"Health Disparities in the United States: Social Class, Race, Ethnicity, and Health / Edition 2"
963,Potter/TenSpeed/Harmony,2/7/17,Deepak Chopra,Super Genes: Unlock the Astonishing Power of Your DNA for Optimum Health and Well-Being
964,Johns Hopkins University Press,7/31/14,Tammi L. Shlotzhauer,Living with Rheumatoid Arthritis
965,Oxford University Press,7/13/16,Athena du Pre,Communicating About Health: Current Issues and Perspectives / Edition 5
966,HarperCollins Publishers,7/5/16,Emeran Mayer,"The Mind-Gut Connection: How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health"
967,"Norton, W. W. & Company, Inc.",11/15/16,David R. Montgomery,The Hidden Half of Nature: The Microbial Roots of Life and Health
968,Elsevier Health Sciences,9/2/13,Margaret Jordan Halter,Varcarolis' Foundations of Psychiatric Mental Health Nursing: A Clinical Approach / Edition 7
969,"Rodale Press, Inc.",12/24/12,William Davis MD,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health"
970,"Destiny Image, Inc.",11/17/15,Jordan Rubin,The Maker's Diet: The 40-day health experience that will change your life forever
971,American Bar Association,2/7/17,Sally Balch Hurme,"Get the Most Out of Retirement: Checklist for Happiness, Health, Purpose, and Financial Security"
972,"Rodale Press, Inc.",7/5/16,Stacy Sims,"ROAR: How to Match Your Food and Fitness to Your Unique Female Physiology for Optimum Performance, Great Health, and a Strong, Lean Body for Life"
973,"Rodale Press, Inc.",5/13/14,BJ Gaddour,"Men's Health Your Body is Your Barbell: No Gym. Just Gravity. Build a Leaner, Stronger, More Muscular You in 28 Days!"
